MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,TAIL_NUM,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,DEP_DEL15,DEP_TIME_BLK,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,ARR_TIME_BLK,CANCELLED,CANCELLATION_CODE,CRS_ELAPSED_TIME,ACTUAL_ELAPSED_TIME,DISTANCE,DISTANCE_GROUP,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,...33
8,22,4,OO,N195SY,3461,14262,PSP,"Palm Springs, CA",14771,SFO,"San Francisco, CA",1210,1206,0,0,1200-1259,1335,1337,2,1300-1359,0,,85,91,421,2,,,,,,
8,14,3,DL,N916DN,1795,13303,MIA,"Miami, FL",10397,ATL,"Atlanta, GA",1434,1744,190,1,1400-1459,1636,2020,224,1600-1659,0,,122,156,594,3,190,0,34,0,0,
10,20,7,DL,N861DN,780,10397,ATL,"Atlanta, GA",10140,ABQ,"Albuquerque, NM",2020,2017,0,0,2000-2059,2143,2202,19,2100-2159,0,,203,225,1269,6,0,0,19,0,0,
10,31,4,F9,N938FR,182,11292,DEN,"Denver, CO",13871,OMA,"Omaha, NE",0806,0817,11,0,0800-0859,1037,1043,6,1000-1059,0,,91,86,472,2,,,,,,
10,9,3,OO,N920EV,3541,11267,DAY,"Dayton, OH",11433,DTW,"Detroit, MI",0630,0625,0,0,0600-0659,0739,0733,0,0700-0759,0,,69,68,166,1,,,,,,
10,28,1,UA,N14240,1247,11278,DCA,"Washington, DC",12266,IAH,"Houston, TX",1629,1626,0,0,1600-1659,1859,1859,0,1800-1859,0,,210,213,1208,5,,,,,,
10,15,2,OH,N505AE,5392,14814,SHV,"Shreveport, LA",11057,CLT,"Charlotte, NC",0623,0630,7,0,0600-0659,0958,0917,0,0900-0959,0,,155,107,764,4,,,,,,
10,2,3,B6,N593JB,1621,10721,BOS,"Boston, MA",14027,PBI,"West Palm Beach/Palm Beach, FL",1550,1544,0,0,1500-1559,1906,1838,0,1900-1959,0,,196,174,1197,5,,,,,,
10,26,6,DL,N920DU,1741,14057,PDX,"Portland, OR",14869,SLC,"Salt Lake City, UT",1325,1327,2,0,1300-1359,1610,1603,0,1600-1659,0,,105,96,630,3,,,,,,
10,16,3,AA,N125UW,856,11697,FLL,"Fort Lauderdale, FL",14100,PHL,"Philadelphia, PA",1640,1639,0,0,1600-1659,1928,1923,0,1900-1959,0,,168,164,992,4,,,,,,
10,19,6,AA,N195UW,2229,10721,BOS,"Boston, MA",14107,PHX,"Phoenix, AZ",0956,0951,0,0,0900-0959,1252,1221,0,1200-1259,0,,356,330,2300,10,,,,,,
10,1,2,OH,N591NN,5674,14685,SAV,"Savannah, GA",11057,CLT,"Charlotte, NC",0533,0526,0,0,0001-0559,0647,0640,0,0600-0659,0,,74,74,213,1,,,,,,
10,7,1,UA,N16701,2174,13198,MCI,"Kansas City, MO",13930,ORD,"Chicago, IL",1018,1010,0,0,1000-1059,1155,1142,0,1100-1159,0,,97,92,403,2,,,,,,
10,30,3,YV,N503MJ,6044,12264,IAD,"Washington, DC",13931,ORF,"Norfolk, VA",1300,1705,245,1,1300-1359,1406,1806,240,1400-1459,0,,66,61,157,1,240,0,0,0,0,
10,30,3,WN,N730SW,3237,14831,SJC,"San Jose, CA",14107,PHX,"Phoenix, AZ",1240,1239,0,0,1200-1259,1425,1424,0,1400-1459,0,,105,105,621,3,,,,,,
10,21,1,WN,N736SA,2339,11042,CLE,"Cleveland, OH",10821,BWI,"Baltimore, MD",0605,0603,0,0,0600-0659,0720,0711,0,0700-0759,0,,75,68,314,2,,,,,,
10,7,1,WN,N559WN,857,10397,ATL,"Atlanta, GA",12339,IND,"Indianapolis, IN",0835,0841,6,0,0800-0859,1010,1006,0,1000-1059,0,,95,85,432,2,,,,,,
10,19,6,OO,N701SK,3103,14262,PSP,"Palm Springs, CA",14107,PHX,"Phoenix, AZ",0645,0639,0,0,0600-0659,0756,0749,0,0700-0759,0,,71,70,261,2,,,,,,
10,19,6,OO,N934SW,5144,11292,DEN,"Denver, CO",10409,ATY,"Watertown, SD",1330,1321,0,0,1300-1359,1616,1555,0,1600-1659,0,,106,94,519,3,,,,,,
10,23,3,OH,N576NN,5118,11057,CLT,"Charlotte, NC",11995,GSO,"Greensboro/High Point, NC",0751,0745,0,0,0700-0759,0849,0907,18,0800-0859,0,,58,82,83,1,0,0,18,0,0,
10,14,1,DL,N329NB,2070,11433,DTW,"Detroit, MI",10529,BDL,"Hartford, CT",2235,2234,0,0,2200-2259,0010,0005,0,0001-0559,0,,95,91,549,3,,,,,,
10,2,3,DL,N917DU,1663,13342,MKE,"Milwaukee, WI",10397,ATL,"Atlanta, GA",1839,1832,0,0,1800-1859,2138,2137,0,2100-2159,0,,119,125,669,3,,,,,,
